service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
14WINT-All-Weekday-05,20140106,20140425,1,1,1,1,1,0,0
14WINT-All-Weekday-05-1111000,20140106,20140425,1,1,1,1,0,0,0
14SPRI-All-Weekday-02-0001100,20140428,20140620,0,0,0,1,1,0,0
14SPRI-All-Saturday-01,20140503,20140621,0,0,0,0,0,1,0
14WINT-All-Sunday-03,20140112,20140427,0,0,0,0,0,0,1
14WINT-All-Weekday-05-0000100,20140106,20140425,0,0,0,0,1,0,0
14SPRI-All-Sunday-01,20140504,20140622,0,0,0,0,0,0,1
14WINT-All-Saturday-03,20140111,20140426,0,0,0,0,0,1,0
14SPRI-All-Weekday-02,20140428,20140620,1,1,1,1,1,0,0
14WINT-All-Weekday-05-0001100,20140106,20140425,0,0,0,1,1,0,0
