route_long_name,route_id,route_type,route_text_color,agency_id,route_color,route_url,route_desc,route_short_name
Highland,24,3,,,,,,24
Queen South,25,3,,,,,,25
Chicopee,27,3,,,,,,27
Victoria Hills,20,3,,,,,,20
Elmira,21,3,,,,,,21
Laurentian West,22,3,,,,,,22
Idlewood,23,3,,,,,,23
Keats Way,29,3,,,,,,29
Glasgow,4,3,,,,,,4
WCI-Northlake Special,9959,3,,,,,,9959
Huron Industrial AM Special,9931,3,,,,,,9931
Kitchener Train Stn. Shuttle,9935,3,,,,,,9935
INIT Test Route KWSA,999,3,,,,,,999
Lakeshore,9,3,,,,,,9
Christopher,59,3,,,,,,59
Elmwood,58,3,,,,,,58
SD-Eastbridge/SMH-S1 Express Special,9904,3,,,,,,9904
SD-Auburn/BCI Dansbury Special,9902,3,,,,,,9902
Northlake Special,9903,3,,,,,,9903
BCI-Auburn/SMH-S2 Express Special,9901,3,,,,,,9901
St. Andrews,55,3,,,,,,55
Lisbon Pines,54,3,,,,,,54
Blair Road,57,3,,,,,,57
Dunbar,56,3,,,,,,56
Hespeler Road,51,3,,,,,,51
HHSS-Erinbrook/SMH-Biehn/SMH-F3 Xp Special,9908,3,,,,,,9908
Fairview Park/Ainslie Street,52,3,,,,,,52
St. B Poplar-Baldwin PM,9851,3,,,,,,9851
St. B Cooper-Winston/JHSS Melran,9852,3,,,,,,9852
Preston HS - Langs,9853,3,,,,,,9853
GCI Northview/ARC Industries,9854,3,,,,,,9854
Franklin Boulevard,53,3,,,,,,53
SMH-Max Becker,9911,3,,,,,,9911
SMH-Ottawa South & Rt 12 Special,9913,3,,,,,,9913
SMH-Activa Special,9912,3,,,,,,9912
SMH-Keewatin/SMH-Erinbrook Special,9915,3,,,,,,9915
SMH-Doon Valley Special,9917,3,,,,,,9917
Rt 7F/Rt 7B/SMH-F2 Xp/SMH-F5 Xp Special,9919,3,,,,,,9919
ECI-Express/SMH-F1 Express/SMH-F4 Special,9918,3,,,,,,9918
Ottawa South,3,3,,,,,,3
Mainline,7,3,,,,,,7
Bathurst,14_merged_99830342,3,,,,,,14
Waterloo Industrial,14_merged_99830344,3,,,,,,14
