stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
43.389999,,-80.474559,3734_merged_99830242,,,,Parkvale / Huron Natural Pk,0,
43.479921,,-80.5317,place_WCI,,,,Waterloo CI,1,
43.467909,,-80.565832,4026,,,,Columbia / Fischer-Hallman,0,
43.46812,,-80.56521,4027,,,,Columbia / Fischer-Hallman,0,
43.465022,,-80.57329,4024,,,,Columbia / Bennington,0,
43.466501,,-80.569081,4025,,,,Columbia / Gatestone,0,
43.457015,,-80.582987,4022,,,,Columbia / Zurich,0,
43.44919,,-80.590268,4023,,,,Columbia / Sundew,0,
43.457183,,-80.582652,4021,,,,Columbia / Lucerne,0,
43.508032,,-80.516305,4028,,,,Bridge / Path To Brigantine,0,
43.50789,,-80.516392,4029,,,,Bridge / Path To Wissler,0,
43.449385,,-80.493128,2557_merged_99830086,,place_CST,,Charles St. Terminal,0,
43.383044,,-80.428792,3999,,,,Doon Mills / Woodsmere,0,
43.42984,,-80.416368,1653,,,,Path To Morrison Park,0,
43.448019,,-80.566044,1983_merged_99830334,,,,Erb / Erbsville Crt,0,
43.416426,,-80.387666,2318,,,,Maple Grove / Cherry Blossom,0,
43.451861,,-80.487051,2319,,,,Weber / Queen,0,
43.429058,,-80.379026,2316,,,,Loblaws,0,
43.423795,,-80.381551,2317,,,,Maple Grove / Fountain,0,
43.416272,,-80.375698,2314,,,,Fountain / Toyota Gate 1,0,
43.41896,,-80.376659,2315,,,,Fountain / Toyota Gate 2,0,
43.412631,,-80.37513,2312,,,,Cherry Blossom / Fountain,0,
43.392515,,-80.339491,2313,,,,Bishop / Mary,0,
43.415296,,-80.383428,2310,,,,Cherry Blossom / Barnes,0,
43.40548,,-80.448354,1757_merged_99830015,,,,334 Manitou Dr.,0,
43.482726,,-80.523924,3773,,,,Columbia / Weber,0,
43.483533,,-80.522156,3772,,,,Columbia / Weber,0,
43.484377,,-80.519865,3771,,,,Columbia / Marsland,0,
43.487547,,-80.51847,3770,,,,Lexington / Dearborn,0,
43.496925,,-80.545854,3777,,,,Parkside / Northfield,0,
43.494911,,-80.544484,3776,,,,551 Parkside Dr.,0,
