block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_142957,29,1,29 Keats Way to The Boardwalk,290067,14SPRI-All-Weekday-02,885822-02
a_133080,65,0,65 Fisher Mills,650008,14WINT-All-Weekday-05,827570-05
a_133177,53,0,53 Franklin Blvd.,530003,14WINT-All-Weekday-05,824488-05
b_146810,999,1,Out of Service,9990007,14SPRI-All-Sunday-01,966020-01
b_141614,5,0,5 Erb to Bridgeport,50031_merged_99830409,14SPRI-All-Saturday-01,890575-01
a_133334,7,1,7 Downtown,70150,14WINT-All-Saturday-03,831191-03
a_133206,4,0,4 Glasgow,40039,14WINT-All-Weekday-05,826590-05
b_142900,25,0,25 Queen South,250007,14SPRI-All-Weekday-02,888161-02
b_141563,11,1,11 Downtown,110012,14SPRI-All-Saturday-01,893260-01
a_133313,3,1,3 Ottawa South to Downtown,30003,14WINT-All-Saturday-03,829253-03
a_133421,20,0,20 Victoria Hills to Highland Hills,200003,14WINT-All-Sunday-03,833479-03
b_142848,200,0,200 iXpress Conestoga Mall,2000058,14SPRI-All-Weekday-02,886402-02
a_133017,9,1,9 Lakeshore to UW,90005_merged_99830350,14WINT-All-Weekday-05,826239-05
b_141581,12,1,12 Fairview Park,120122,14SPRI-All-Saturday-01,892071-01
a_133289,65,0,65 Fisher Mills,650008,14WINT-All-Saturday-03,830896-03
b_142896,60,0,60 Northview Acres,600007,14SPRI-All-Weekday-02,889216-02
b_141575,64,1,64 Cambridge Centre,640007,14SPRI-All-Saturday-01,892412-01
a_133394,25,1,25 Queen South to Downtown,250013,14WINT-All-Sunday-03,832578-03
a_133288,59,0,59 Christopher,590005,14WINT-All-Saturday-03,830560-03
a_134227,201,1,201 iXpress Conestoga Mall,2010023_merged_99830360,14WINT-All-Weekday-05,837536-05
a_133189,23,1,23 Idlewood,230017,14WINT-All-Weekday-05,824247-05
b_146812,999,1,Test Mode,9990006,14SPRI-All-Weekday-02,964808-02
a_133220,9,1,9 Lakeshore to UW,90067,14WINT-All-Weekday-05,826324-05
a_133229,20,1,20 Victoria Hills to Downtown,200012,14WINT-All-Weekday-05,825379-05
a_133283,52,1,52 Ainslie Terminal via Preston Pkwy,520005,14WINT-All-Saturday-03,830051-03
a_133359,5,1,5 Erb to The Boardwalk,50021,14WINT-All-Saturday-03,832165-03
b_141510,1,0,1 Stanley Park via Lorraine,10002_merged_99830413,14SPRI-All-Sunday-01,895062-01
a_133270,12,0,12 Conestoga Mall,120118,14WINT-All-Saturday-03,830671-03
b_141521,7,1,7B Fairview via Weber,70141,14SPRI-All-Sunday-01,894835-01
b_142883,76,1,76 Doon South BusPlus,760008,14SPRI-All-Weekday-02,885978-02
b_141593,7,1,7A  Fairview via Connaught,70145,14SPRI-All-Saturday-01,891728-01
b_141501,52,0,52 Fairview Park via Preston Pkwy,520019,14SPRI-All-Sunday-01,894088-01
a_133229,6,1,6 Bridge to Downtown,60030,14WINT-All-Weekday-05,828063-05
a_133398,8,1,8 Fairview via Westmount & Franklin,80037,14WINT-All-Sunday-03,832482-03
a_133208,5,1,5 Erb to The Boardwalk,50021,14WINT-All-Weekday-05,828138-05
a_133307,2,0,2 Forest Hill,20013,14WINT-All-Saturday-03,830388-03
b_144625,21,1,21 Conestoga Mall,210017,14SPRI-All-Weekday-02,887403-02
a_133323,200,1,200 iXpress Ainslie Terminal,2000064,14WINT-All-Saturday-03,830861-03
a_133176,110,1,110 Conestoga College Express,1100006,14WINT-All-Weekday-05,826220-05
a_133170,18,0,18 Guelph St,180003,14WINT-All-Weekday-05,825267-05
b_143003,201,0,201 iXpress Forest Glen,2010022_merged_99830396,14SPRI-All-Weekday-02,889654-02
a_133274,1,1,1 Downtown via Lorraine,10011_merged_99830368,14WINT-All-Saturday-03,829331-03
b_142795,6,0,6 Bridge to Conestoga Mall,60004,14SPRI-All-Weekday-02,885722-02
b_143992,5,0,5 Erb to Bridgeport,50031_merged_99830409,14SPRI-All-Weekday-02,885655-02
a_133405,7,1,7A  Fairview via Connaught,70143_merged_99830349,14WINT-All-Sunday-03,832707-03
b_143035,61,1,61 Conestoga College,610015,14SPRI-All-Weekday-02,904608-02
a_133314,56,1,56 Cambridge Centre,560004,14WINT-All-Saturday-03,830251-03
a_133289,51,0,51 Hespeler Rd. to Ainslie Terminal,510003,14WINT-All-Saturday-03,830135-03
b_141596,7,1,7 Downtown,70150,14SPRI-All-Saturday-01,891803-01
b_142855,200,1,200 iXpress Ainslie Terminal,2000064,14SPRI-All-Weekday-02,886520-02
a_133391,60,0,60 Northview Acres,600001,14WINT-All-Sunday-03,833257-03
a_133151,33,1,33 Forest Glen,330007,14WINT-All-Weekday-05,827862-05
a_133174,32,0,32 Kumpf,320003,14WINT-All-Weekday-05,826019-05
b_142842,54,0,54 Lisbon Pines,540001,14SPRI-All-Weekday-02,886344-02
a_133292,11,1,11 Downtown,110012,14WINT-All-Saturday-03,829489-03
b_150308,53,1,53 Franklin to Cambridge Ctr.,530011,14SPRI-All-Weekday-02,903524-02
b_141617,5,1,5 Erb to The Boardwalk,50035,14SPRI-All-Saturday-01,890602-01
b_141564,8,0,8 University via Courtland & Weber,80133,14SPRI-All-Saturday-01,893293-01
a_133138,59,0,59 Christopher,590005,14WINT-All-Weekday-05,824345-05
a_133294,6,0,6 Bridge to Conestoga Mall,60029,14WINT-All-Saturday-03,832077-03
a_133193,10,0,10 Fairview Park,100009,14WINT-All-Weekday-05,826133-05
a_133406,7,0,7C Conestoga Mall,70016_merged_99830361,14WINT-All-Sunday-03,832685-03
b_141554,63,0,63 Champlain,630004,14SPRI-All-Saturday-01,892264-01
b_142820,7,0,7C Conestoga Mall,70029_merged_99830392,14SPRI-All-Weekday-02,888702-02
a_134232,202,0,202 iXpress The Boardwalk,2020005_merged_99830374,14WINT-All-Weekday-05,837757-05
b_142998,9918,0,St. Mary's Express,99180006,14SPRI-All-Weekday-02,887330-02
a_133172,25,0,25 Queen South,250008,14WINT-All-Weekday-05,825637-05
a_133215,7,1,7 Downtown,70151,14WINT-All-Weekday-05,825141-05
a_133359,5,1,5 Erb to The Boardwalk,50021,14WINT-All-Saturday-03,832161-03
a_133290,2,0,2 Forest Hill,20014,14WINT-All-Saturday-03,830377-03
b_141632,1,0,1 Stanley Park via River,10017_merged_99830406,14SPRI-All-Saturday-01,893438-01
b_143716,201,1,201 iXpress Conestoga Mall,2010023_merged_99830397,14SPRI-All-Weekday-02,889612-02
b_141594,7,1,7B Fairview via Weber,70141,14SPRI-All-Saturday-01,891710-01
a_133073,58,0,58 Elmwood,580002,14WINT-All-Weekday-05,827459-05
a_133182,21,1,21 Conestoga Mall,210017,14WINT-All-Weekday-05,826385-05
b_142817,7,1,7A  Fairview via Connaught,70145,14SPRI-All-Weekday-02,888915-02
